2.963000000000000000e+03,3.500000000000000000e+03,8.798000000000000000e+03,3.949000000000000000e+03,1.638000000000000000e+03,1.203000000000000000e+03,5.582000000000000000e+03,2.318000000000000000e+03,1.706000000000000000e+03,5.068000000000000000e+03
7.607000000000000000e+03,8.939000000000000000e+03,1.082000000000000000e+03,1.178000000000000000e+03,4.080000000000000000e+02,7.400000000000000000e+03,9.181000000000000000e+03,4.501000000000000000e+03,6.466000000000000000e+03,7.211000000000000000e+03
5.899000000000000000e+03,9.610000000000000000e+03,7.862000000000000000e+03,4.652000000000000000e+03,9.953000000000000000e+03,4.376000000000000000e+03,1.550000000000000000e+02,1.238000000000000000e+03,7.048000000000000000e+03,1.449000000000000000e+03
4.964000000000000000e+03,5.884000000000000000e+03,2.233000000000000000e+03,9.260000000000000000e+02,3.319000000000000000e+03,2.881000000000000000e+03,9.414000000000000000e+03,8.742000000000000000e+03,4.662000000000000000e+03,1.165000000000000000e+03
9.806000000000000000e+03,1.357000000000000000e+03,3.710000000000000000e+03,1.231000000000000000e+03,2.585000000000000000e+03,5.479000000000000000e+03,4.252000000000000000e+03,1.973000000000000000e+03,2.058000000000000000e+03,9.449000000000000000e+03
7.484000000000000000e+03,1.222000000000000000e+03,7.862000000000000000e+03,5.673000000000000000e+03,5.888000000000000000e+03,9.680000000000000000e+03,9.202000000000000000e+03,4.542000000000000000e+03,4.857000000000000000e+03,7.940000000000000000e+02
2.558000000000000000e+03,2.807000000000000000e+03,4.100000000000000000e+03,3.803000000000000000e+03,8.442000000000000000e+03,5.122000000000000000e+03,1.012000000000000000e+03,6.548000000000000000e+03,8.970000000000000000e+03,1.745000000000000000e+03
7.440000000000000000e+02,7.745000000000000000e+03,5.969000000000000000e+03,8.284000000000000000e+03,6.277000000000000000e+03,2.420000000000000000e+02,1.582000000000000000e+03,5.520000000000000000e+02,2.240000000000000000e+03,8.147000000000000000e+03
1.166000000000000000e+03,9.523000000000000000e+03,5.440000000000000000e+03,9.362000000000000000e+03,9.021000000000000000e+03,1.220000000000000000e+03,1.504000000000000000e+03,8.452000000000000000e+03,8.395000000000000000e+03,5.711000000000000000e+03
1.713000000000000000e+03,6.892000000000000000e+03,9.028000000000000000e+03,4.344000000000000000e+03,1.770000000000000000e+03,8.525000000000000000e+03,6.178000000000000000e+03,4.691000000000000000e+03,1.881000000000000000e+03,9.625000000000000000e+03
